# id|status|claim|source|reviewed_on|reviewer|pages|boundary
career-chronology|personal-account|Matt's employment and education chronology follows the archived Rails resume.|repo:mattkelly.io@acfd230528ffc8a2adf3e582aa9d82128f3d7850:app/views/pages/cv/_sections/_experience.html.erb;repo:mattkelly.io@acfd230528ffc8a2adf3e582aa9d82128f3d7850:app/views/pages/cv/_sections/_education.html.erb|2026-07-16|migration-review|/about/,/resume/,/work/nuclear-to-software/|Dates, titles, duties, and outcomes are Matt Kelly's account; employer records were not independently reviewed.
va-modernization|personal-account|Matt audited and modernized Veterans Benefits APIs and led consolidation work toward a Rails API platform.|repo:mattkelly.io@acfd230528ffc8a2adf3e582aa9d82128f3d7850:app/views/pages/cv/_jobs/_va_gov.html.erb|2026-07-16|migration-review|/work/,/work/va-public-apis/,/resume/|No non-public architecture, security control, metric, or client detail is disclosed.
va-public-repositories|public|VA.gov publishes vets-api source and API documentation.|https://github.com/department-of-veterans-affairs/vets-api;https://developer.va.gov|2026-07-16|migration-review|/work/va-public-apis/|Public links establish project context, not Matt's individual contribution.
legacy-recovery|personal-account|Matt migrated a long-lived Python 2 and Django application toward Rails, untangled a decade-old dependency graph, and restored its tests.|repo:mattkelly.io@acfd230528ffc8a2adf3e582aa9d82128f3d7850:app/views/pages/cv/_jobs/_nexhealth.html.erb|2026-07-16|migration-review|/work/,/work/legacy-recovery/,/resume/|No customer, repository, metric, or proprietary implementation detail is published.
data-advertising|personal-account|Matt worked on advertising, accounting, classification, compliance, and large-scale data systems at Weedmaps and Comcast.|repo:mattkelly.io@acfd230528ffc8a2adf3e582aa9d82128f3d7850:app/views/pages/cv/_jobs/_weedmaps.html.erb;repo:mattkelly.io@acfd230528ffc8a2adf3e582aa9d82128f3d7850:app/views/pages/cv/_jobs/_comcast.html.erb|2026-07-16|migration-review|/work/,/work/data-advertising-systems/,/resume/|The page omits sensitive customer-data topology, performance figures, model details, and internal system identifiers.
nuclear-transition|personal-account|Matt served in submarine nuclear operations, field engineering, and industrial software roles before moving into commercial software engineering.|repo:mattkelly.io@acfd230528ffc8a2adf3e582aa9d82128f3d7850:app/views/pages/cv/_jobs/_navy.html.erb;repo:mattkelly.io@acfd230528ffc8a2adf3e582aa9d82128f3d7850:app/views/pages/cv/_jobs/_curtiss_wright_fse.html.erb;repo:mattkelly.io@acfd230528ffc8a2adf3e582aa9d82128f3d7850:app/views/pages/cv/_jobs/_curtiss_wright_lead.html.erb|2026-07-16|migration-review|/,/work/,/about/,/resume/,/work/nuclear-to-software/|No classified, plant-specific, customer, or safety-sensitive operating detail is published.
references-consent|source|Five attributed professional references were transcribed from the original Rails page with publication consent recorded.|repo:mattkelly.io@acfd230528ffc8a2adf3e582aa9d82128f3d7850:app/views/pages/references.html.erb;repo:mattkelly.io@9a4f54c21c2ac89bc02a84957b503049f8ce62f9:docs/migrations/portfolio/DECISIONS.md#D010;repo:mattkelly.io@9a4f54c21c2ac89bc02a84957b503049f8ce62f9:site/content/pages/references.html|2026-07-16|migration-review|/references/,/provenance/|Statements are attributed personal opinions, not independent verification of resume claims or objective outcomes.
quartz-source|source|Quartz is a compiled systems language with a self-hosted compiler and LLVM-based native output.|repo:quartz@4a8c31f617bd0aac515cae8f83d30cd10aa6293c:README.md|2026-07-16|migration-review|/,/lab/,/lab/quartz/,/lab/chip-8/,/provenance/|Claims are limited to the pinned clean Quartz tree used by this portfolio build.
portfolio-build|source|The core portfolio is generated offline by pinned Quartz and served as static files without request-time application code.|repo:mattkelly.io@9a4f54c21c2ac89bc02a84957b503049f8ce62f9:docs/migrations/portfolio/STATIC_ARCHITECTURE.md|2026-07-16|migration-review|/,/lab/,/lab/quartz/,/lab/site-evolution/,/now/,/provenance/,/site-history/|This describes the core static artifact, not separately versioned Quartz services.
chip8-source|source|The pinned Quartz tree contains a base CHIP-8 emulator implementation and smoke-test harness.|repo:quartz@4a8c31f617bd0aac515cae8f83d30cd10aa6293c:examples/chip8/chip8.qz;repo:quartz@4a8c31f617bd0aac515cae8f83d30cd10aa6293c:examples/chip8/test_chip8.qz|2026-07-16|migration-review|/lab/,/lab/chip-8/|The repository record establishes source and a smoke harness only; no browser artifact, ROM compatibility, or complete emulator correctness is attested.
